GEOID,all_ppl_race,B02001_001M,B02001_002E,B02001_002M,black,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
"48453000101",4494,584,3916,556,0,15,31,50,169,152,0,15,60,93,318,200,72,118,246,158
"48453000102",2155,305,1957,279,11,9,0,15,91,66,0,15,3,6,93,57,67,48,26,27
"48453000203",3020,256,1997,293,337,137,61,83,336,106,14,24,11,17,264,141,237,139,27,37
"48453000204",2593,270,2080,254,65,54,0,15,140,77,0,15,31,38,277,132,186,101,91,74
"48453000205",4549,545,3582,474,94,109,0,15,224,181,0,15,279,208,370,266,236,235,134,138
"48453000206",3906,878,3175,582,90,90,69,83,155,125,0,15,61,59,356,370,290,283,66,96
"48453000302",5474,788,3326,514,191,131,22,36,765,347,0,21,144,118,1026,610,957,601,69,62
"48453000304",3054,567,2357,365,39,40,0,15,170,80,20,30,235,275,233,120,166,106,67,49
"48453000305",3529,382,2922,394,53,69,40,62,119,66,5,10,179,199,211,104,101,75,110,65
"48453000307",1875,256,1567,196,42,32,0,15,66,72,0,15,50,54,150,73,78,58,72,43
"48453000308",2258,370,1367,278,82,79,0,15,381,192,0,15,31,49,397,276,364,272,33,37
"48453000309",5267,499,3778,582,228,155,48,77,483,163,0,21,106,65,624,231,252,140,372,193
"48453000401",4516,647,3074,539,219,88,59,94,446,222,0,15,177,172,541,303,346,257,195,125
"48453000402",3207,270,2124,208,466,194,25,27,117,69,0,15,223,178,252,105,83,50,169,88
"48453000500",3931,645,3394,593,49,49,34,49,249,124,0,15,95,105,110,63,46,36,64,65
"48453000601",10105,359,5577,459,1921,278,45,44,1215,266,14,31,316,149,1017,459,746,436,271,95
"48453000605",2779,542,1992,515,92,107,18,30,249,131,0,15,168,181,260,136,81,94,179,95
"48453000606",4553,688,2685,574,123,98,0,15,1213,396,0,15,110,117,422,198,285,180,137,105
"48453000607",3038,311,1843,341,176,90,12,19,665,261,0,15,25,34,317,189,146,108,171,158
"48453000608",3627,592,1439,340,447,165,0,15,985,361,0,15,43,52,713,470,661,461,52,59
"48453000700",1321,241,949,182,25,34,1,3,225,164,0,15,54,75,67,44,37,39,30,20
"48453000801",2000,572,1386,558,92,75,0,15,44,56,20,22,126,98,332,210,209,152,123,144
"48453000802",3912,828,2533,699,938,517,0,15,18,22,0,15,369,352,54,63,4,7,50,63
"48453000803",3300,420,2014,299,710,329,8,12,134,79,0,15,149,172,285,142,196,128,89,58
"48453000804",2607,401,1386,244,779,365,77,106,31,27,0,15,180,166,154,82,90,73,64,46
"48453000901",3171,824,2068,615,251,121,0,15,122,75,0,15,111,103,619,558,492,529,127,141
"48453000902",6016,532,3783,621,324,237,0,21,237,166,0,21,1149,533,523,259,266,233,257,144
"48453001000",3291,528,2517,524,46,36,4,8,77,49,0,15,174,117,473,198,234,168,239,138
"48453001101",1755,334,1165,287,151,111,5,8,51,61,14,26,30,30,339,241,214,207,125,185
"48453001102",3571,732,3082,672,0,15,0,15,296,235,0,15,0,15,193,121,83,98,110,77
"48453001103",3522,791,2774,804,98,104,0,15,206,191,0,15,33,53,411,227,173,165,238,236
"48453001200",6842,629,5695,580,39,64,12,22,477,233,0,21,162,150,457,384,364,378,93,86
"48453001304",3966,354,3543,413,53,58,0,15,152,153,0,15,34,57,184,107,89,78,95,76
"48453001307",5081,1820,4400,1837,23,28,12,19,159,116,0,21,252,346,235,167,155,145,80,81
"48453001308",3191,566,2215,492,95,80,0,15,167,97,0,15,103,79,611,261,439,230,172,121
"48453001309",2897,735,2681,705,0,15,0,15,51,48,0,15,14,22,151,130,126,125,25,33
"48453001310",3908,703,3183,549,141,101,0,15,183,166,0,15,16,26,385,282,249,254,136,108
"48453001311",1379,350,1079,166,218,299,0,15,21,23,0,15,32,36,29,37,13,21,16,31
"48453001312",4732,570,3520,631,414,521,0,15,65,58,0,15,0,15,733,356,503,290,230,169
"48453001401",2597,230,2149,254,78,67,8,21,141,82,0,15,15,23,206,121,42,38,164,113
"48453001402",2200,286,1589,224,109,91,0,15,140,73,0,15,89,83,273,154,215,151,58,49
"48453001403",1477,379,1161,366,40,57,56,47,17,18,0,15,49,38,154,86,77,54,77,56
"48453001501",5799,1013,4939,920,89,97,0,21,251,185,0,21,0,21,520,368,422,357,98,76
"48453001503",5214,799,3104,479,337,177,17,27,673,351,0,21,129,65,954,540,677,519,277,121
"48453001504",6729,675,4947,704,24,38,0,21,427,179,0,21,467,283,864,306,511,278,353,198
"48453001505",4702,536,3854,491,143,152,0,15,108,88,0,15,165,173,432,225,298,199,134,95
"48453001602",2892,305,2111,265,53,43,6,9,478,169,0,15,70,60,174,113,167,110,7,14
"48453001603",4390,538,3763,424,21,30,10,17,257,235,0,15,37,32,302,207,185,193,117,100
"48453001604",4111,498,3676,490,79,80,0,15,22,23,0,15,50,65,284,148,227,128,57,58
"48453001605",4712,1098,4375,1085,98,78,0,15,0,15,0,15,34,55,205,136,0,15,205,136
"48453001606",86,17,40,9,24,32,0,15,0,15,0,15,5,8,17,32,17,32,0,15
"48453001910",4753,519,3874,546,135,160,0,15,308,171,0,15,274,302,162,92,56,48,106,82
"48453001911",3018,404,2340,371,48,45,0,15,298,154,0,15,213,115,119,71,59,58,60,43
"48453001912",4324,617,3253,707,230,116,0,15,469,225,0,15,147,193,225,102,107,67,118,76
"48453001913",4937,454,4265,439,0,15,0,15,410,132,0,15,9,15,253,145,161,110,92,84
"48453001914",5926,567,4823,582,42,41,0,21,362,176,0,21,68,77,631,362,326,255,305,255
"48453001915",3154,364,2430,356,44,63,0,15,361,160,0,15,102,74,217,110,114,71,103,83
"48453001916",3135,397,2394,309,68,102,0,15,246,75,0,15,28,45,399,295,317,285,82,55
"48453001917",4440,281,3594,274,0,15,0,15,503,84,0,15,102,69,241,129,104,104,137,73
"48453001918",2650,317,2434,339,14,23,0,15,123,85,0,15,21,29,58,40,30,28,28,28
"48453001919",3799,452,3133,370,0,15,0,15,425,353,0,15,41,59,200,95,115,79,85,55
"48453001920",6857,936,5248,981,300,247,80,128,609,283,0,21,43,53,577,279,240,181,337,204
"48453001921",3693,453,3551,473,15,23,0,15,77,78,0,15,0,15,50,46,19,32,31,33
"48453001922",2123,419,1588,377,15,25,5,9,139,93,0,15,10,16,366,271,28,33,338,271
"48453001923",3422,554,2590,499,28,43,27,35,0,15,0,15,0,15,777,342,377,271,400,294
"48453002002",2793,408,2272,286,18,23,0,15,45,42,4,12,120,144,334,255,266,262,68,60
"48453002003",3576,484,2593,519,206,260,15,24,41,36,0,15,239,191,482,272,446,270,36,36
"48453002004",3011,381,1975,283,113,88,0,15,198,105,0,15,404,463,321,174,163,143,158,105
"48453002006",2363,314,2078,372,20,31,0,15,21,27,0,15,143,137,101,118,48,90,53,73
"48453002007",2504,291,1955,308,128,117,53,67,70,66,0,15,35,37,263,124,104,97,159,95
"48453002104",2589,435,2141,417,80,66,16,19,28,28,0,15,164,182,160,72,87,54,73,52
"48453002105",4818,848,2153,399,876,293,18,29,78,55,0,15,964,577,729,827,600,829,129,117
"48453002106",3012,397,1772,344,116,100,16,31,111,119,0,15,606,218,391,194,111,81,280,185
